	name	m	n	noise_mean	noise_sd	num	sim_matrix	r	lambdaW	lambdaH	lambdaC	RMSE	MAE	AUROC	AUPRC
77	Buenrostro2018	5000	1974	-1	1	4	S_lsi_M	5	1	1	1	0.6099872629114945	0.23857249172334297	0.854076187445366	0.81614408788229
78	Buenrostro2018	5000	1974	-1	1	4	S_lsi_M	8	1	1	0	0.6097305003135578	0.2370989927672671	0.8559981175413142	0.8246361641642888
79	Buenrostro2018	5000	1974	-1	1	4	S_lsi_M	8	1	1	1	0.6095997997186936	0.23748204241862036	0.8551329661470078	0.8215913111620055
80	Buenrostro2018	5000	1974	-1	1	4	S_lsi_M	10	1	1	0	0.6098842157475514	0.236595642401731	0.8557370407127002	0.819996568995458
81	Buenrostro2018	5000	1974	-1	1	4	S_lsi_M	10	1	1	1	0.6093151031562584	0.23682285352158958	0.8559641671549608	0.8207266333504193
82	Buenrostro2018	5000	1974	-1	1	4	S_lsi_M	20	1	1	0	0.6116239194433892	0.236532590820465	0.8507873807785876	0.8086950854315921
83	Buenrostro2018	5000	1974	-1	1	4	S_lsi_M	20	1	1	1	0.6108752937451014	0.23632943445076726	0.8527054673355698	0.8075695861049723
84	Buenrostro2018	5000	1974	-1	1	4	S_lsi_M	30	1	1	0	0.6132321253862348	0.2364997425108424	0.8457404177790713	0.8010933064809334
85	Buenrostro2018	5000	1974	-1	1	4	S_lsi_M	30	1	1	1	0.6123890918201988	0.23630242853138303	0.848463055566969	0.8065677126668045
86	Buenrostro2018	5000	1974	-1	1	4	S_lsi_M	40	1	1	0	0.614738724377144	0.23651961097863017	0.8408615795331879	0.7880053099240392
87	Buenrostro2018	5000	1974	-1	1	4	S_lsi_M	40	1	1	1	0.6138071883553899	0.23630183125378887	0.8441870211349387	0.7999432470603784
88	Buenrostro2018	5000	1974	-1	1	4	S_lsi_M	50	1	1	0	0.6161022596416893	0.23653912226188695	0.8362787838829538	0.7869889521137526
89	Buenrostro2018	5000	1974	-1	1	4	S_lsi_M	50	1	1	1	0.6151299451825749	0.2363252486722736	0.8400223427090503	0.7855175912754522
90	Buenrostro2018	5000	1974	-1	1	4	S_lsi_M	100	1	1	0	0.6214720503778015	0.23686034894038202	0.8183305746789853	0.7639945786169255
91	Buenrostro2018	5000	1974	-1	1	4	S_lsi_M	100	1	1	1	0.6203914568619125	0.2365572678756726	0.823001818156091	0.7685675847926574
92	Buenrostro2018	5000	1974	-1	1	4	scOpen	5	1	1	0	0.6064956728083577	0.24490429123753293	0.8555754867647127	0.8464123411890877
93	Buenrostro2018	5000	1974	-1	1	4	scOpen	8	1	1	0	0.606490400902959	0.24367590949285003	0.8560187136288205	0.846849563258359
