	version	m	n_cl	n_incl	sparse_rate	hetero_rate	drop_rate	sim_matrix	r	lambdaW	lambdaH	lambdaC	RMSE	MAE	AUROC	AUPRC
55	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_M	5	1	1	1	0.3032203886079476	0.15298625308547742	0.9458738609250454	0.9100449167050384
56	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_X	5	1	1	1	0.3118507657988599	0.16163874326765	0.9324220659485558	0.8918232299281708
57	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_M	8	1	1	0	0.29829845970431346	0.1485185437234752	0.9517379081784975	0.9203344977069641
58	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_X	8	1	1	0	0.2982984597043135	0.1485185437234752	0.9517379081784975	0.9203344977069641
59	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_M	8	1	1	0.1	0.2937321015935456	0.14293602821268295	0.9604550741409382	0.9310352210257373
60	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_X	8	1	1	0.1	0.2938104321799061	0.1428045689428326	0.9607300261467855	0.9307118414825603
61	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_M	8	1	1	1	0.28062891934031986	0.12731941857274318	0.975117325842765	0.9508255611984278
62	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_X	8	1	1	1	0.2893168254894313	0.13878170874282603	0.9661748550787719	0.9367453439321219
63	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_M	10	1	1	0	0.3047348589906775	0.1508517825318435	0.9415066138016703	0.9108278554062417
64	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_X	10	1	1	0	0.30473485899067754	0.15085178253184361	0.9415066138016703	0.9108278554062417
65	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_M	10	1	1	0.1	0.30057049455499313	0.14600603243502444	0.9498730211526033	0.9214692250341742
66	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_X	10	1	1	0.1	0.3009783958313423	0.14611263512047978	0.9495225964909	0.9206769248091968
67	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_M	10	1	1	1	0.28278829695275565	0.12996200424822454	0.9725241685039471	0.9505050037757033
68	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_X	10	1	1	1	0.29670695950408693	0.1429985899113752	0.9593766017995146	0.9294340716933679
69	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_M	20	1	1	0	0.3321368112090594	0.161535683062847	0.8946791332355083	0.8616491464590286
70	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_X	20	1	1	0	0.3321368112082642	0.16153568306136887	0.8946791332355083	0.8616491464590286
71	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_M	20	1	1	0.1	0.32777318555717194	0.1568997724013166	0.9086528546511675	0.878064985560544
72	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_X	20	1	1	0.1	0.32807322795079674	0.15720578101167462	0.9088584564142445	0.8771999052826781
73	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_M	20	1	1	1	0.31260864981545866	0.14452136443181665	0.9447963533275018	0.9198179917160578
74	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_X	20	1	1	1	0.3197042861076779	0.1511751988285245	0.9301884241272352	0.9000403325410153
75	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_M	30	1	1	0	0.3458656836163746	0.16323808310438662	0.8758802824087341	0.8415241199189182
76	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_X	30	1	1	0	0.34586568356487996	0.16323808309867596	0.8758802824087341	0.8415241199189182
77	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_M	30	1	1	0.1	0.3416688748854274	0.15898905241455252	0.8944708969795279	0.8619471631951969
78	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_X	30	1	1	0.1	0.34189181591647744	0.15927473724420843	0.8928236339096787	0.8604793813079185
79	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_M	30	1	1	1	0.32804954276300435	0.14912494439607843	0.9329635470040658	0.9069986465029388
80	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_X	30	1	1	1	0.3339322159868295	0.1543029415649843	0.9164006385417109	0.885645049752044
81	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_M	40	1	1	0	0.3533569297320157	0.16166725513059726	0.8737033749486738	0.8408481448969024
82	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_X	40	1	1	0	0.35335693281998376	0.16166725485622252	0.8737033749486738	0.8408481864026016
83	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_M	40	1	1	0.1	0.34941636666962433	0.15771471004256674	0.8957465852333779	0.864544948413659
84	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_X	40	1	1	0.1	0.3497984019204775	0.1581222749498023	0.8929415181907282	0.8615461972426328
85	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_M	40	1	1	1	0.336899607438261	0.14945607743722494	0.9373011097003586	0.9107859314911813
86	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_X	40	1	1	1	0.3417314098962725	0.15367255233419247	0.919111272000706	0.8878097186923285
87	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_M	50	1	1	0	0.3586179986876591	0.15970545825696117	0.8813071893678693	0.8482277519470443
88	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_X	50	1	1	0	0.35861799868764627	0.15970545825694904	0.8813071893678693	0.8482277519470443
89	v1	100	8	10	0.3	0.2	0.5130963210013482	S_lsi_M	50	1	1	0.1	0.3545400491112988	0.15581605690872585	0.9095509569925342	0.8779679762143664
